product name,raw product name,bill date,start date,reason,weight,amount,bill number,source row number
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,8/6/2569,25/06/2569,before product start date,6,492,A1050913,3395
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,8/6/2569,25/06/2569,before product start date,41,3567,A1050920,3396
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,8/6/2569,25/06/2569,before product start date,22.2,1820.4,A1050902,3397
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,9/6/2569,25/06/2569,before product start date,2.1,182.7,A1050924,3398
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,13/6/2569,25/06/2569,before product start date,46.4,4036.8,A1051006,3399
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,15/6/2569,25/06/2569,before product start date,30.5,2653.5,A1051013,3400
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,15/6/2569,25/06/2569,before product start date,32.6,2836.2,A1051013,3401
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,16/6/2569,25/06/2569,before product start date,41,3239,A1051047,3402
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,16/6/2569,25/06/2569,before product start date,1.2,98.4,A1051025,3403
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,17/6/2569,25/06/2569,before product start date,1.2,94.8,A1051066,3404
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,17/6/2569,25/06/2569,before product start date,4.1,323.9,A1051065,3405
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,20/6/2569,25/06/2569,before product start date,1.4,106.4,A1051119,3406
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,20/6/2569,25/06/2569,before product start date,9,720,A1051112,3407
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,22/6/2569,25/06/2569,before product start date,33.4,2738.8,A1051126,3408
อลูมิเนียมล้อแม็ก,อลูมิเนียมล้อแม็ค,7/2/2569,23/06/2569,before product start date,151.8,10929.6,A1049012,3423
อลูมิเนียมล้อแม็ก,อลูมิเนียมล้อแม็ค,17/3/2569,23/06/2569,before product start date,17.2,1307.2,A1049588,3424
อลูมิเนียมล้อแม็ก,อลูมิเนียมล้อแม็ค,18/3/2569,23/06/2569,before product start date,9.8,744.8,A1049601,3425
อลูมิเนียมล้อแม็ก,อลูมิเนียมล้อแม็ค,4/5/2569,23/06/2569,before product start date,7.7,677.6,A1050311,3426
อลูมิเนียมล้อแม็ก,อลูมิเนียมล้อแม็ค,4/6/2569,23/06/2569,before product start date,45.8,4351,A1050854,3427
อลูมิเนียมล้อแม็ก,อลูมิเนียมล้อแม็ค,15/6/2569,23/06/2569,before product start date,20.4,1978.8,A1051013,3428
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,6/1/2569,23/06/2569,before product start date,2.4,180,A1048543,3431
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,14/1/2569,23/06/2569,before product start date,50,3950,A1048647,3432
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,19/1/2569,23/06/2569,before product start date,133.4,10805.4,A1048705,3433
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,26/1/2569,23/06/2569,before product start date,89.4,7241.4,A1048811,3434
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,16/2/2569,23/06/2569,before product start date,0.4,35.2,A1049165,3435
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,27/2/2569,23/06/2569,before product start date,470,38540,A1049322,3436
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,16/3/2569,23/06/2569,before product start date,2.4,211.2,A1049571,3437
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,23/3/2569,23/06/2569,before product start date,0.4,35.6,A1049665,3438
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,23/3/2569,23/06/2569,before product start date,485,43650,A1049668,3439
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,16/4/2569,23/06/2569,before product start date,1.2,111.6,A1050010,3440
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,16/4/2569,23/06/2569,before product start date,230,20700,A1050023,3441
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,17/4/2569,23/06/2569,before product start date,1.9,176.7,A1050027,3442
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,4/5/2569,23/06/2569,before product start date,9.8,970.2,A1050290,3443
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,16/5/2569,23/06/2569,before product start date,3.6,374.4,A1050534,3444
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,18/5/2569,23/06/2569,before product start date,335,34840,A1050543,3445
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,28/5/2569,23/06/2569,before product start date,2.4,261.6,A1050743,3446
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,4/6/2569,23/06/2569,before product start date,1.8,198,A1050849,3447
อลูมิเนียมสายไฟ,อลูมิเนียมสายไฟ,11/6/2569,23/06/2569,before product start date,1,107,A1050955,3448
อลูมิเนียมบาง,อลูมิเนียมบาง,5/1/2569,27/06/2569,before product start date,1.9,98.8,A1048514,3454
อลูมิเนียมบาง,อลูมิเนียมบาง,5/1/2569,27/06/2569,before product start date,1.6,83.2,A1048517,3455
อลูมิเนียมบาง,อลูมิเนียมบาง,5/1/2569,27/06/2569,before product start date,27.8,1529,A1048533,3456
อลูมิเนียมบาง,อลูมิเนียมบาง,5/1/2569,27/06/2569,before product start date,14,770,A1048506,3457
อลูมิเนียมบาง,อลูมิเนียมบาง,5/1/2569,27/06/2569,before product start date,1.2,66,A1048525,3458
อลูมิเนียมบาง,อลูมิเนียมบาง,6/1/2569,27/06/2569,before product start date,0.4,20.8,A1048539,3459
อลูมิเนียมบาง,อลูมิเนียมบาง,7/1/2569,27/06/2569,before product start date,12,744,A1048564,3460
อลูมิเนียมบาง,อลูมิเนียมบาง,9/1/2569,27/06/2569,before product start date,0.4,20.8,A1048585,3461
อลูมิเนียมบาง,อลูมิเนียมบาง,10/1/2569,27/06/2569,before product start date,7.4,310.8,A1048603,3462
อลูมิเนียมบาง,อลูมิเนียมบาง,10/1/2569,27/06/2569,before product start date,2,110,A1048606,3463
อลูมิเนียมบาง,อลูมิเนียมบาง,12/1/2569,27/06/2569,before product start date,20.8,1289.6,A1048611,3464
อลูมิเนียมบาง,อลูมิเนียมบาง,14/1/2569,27/06/2569,before product start date,6.6,369.6,A1048647,3465
อลูมิเนียมบาง,อลูมิเนียมบาง,15/1/2569,27/06/2569,before product start date,0.2,10.6,A1048668,3466
อลูมิเนียมบาง,อลูมิเนียมบาง,15/1/2569,27/06/2569,before product start date,0.3,16.8,A1048665,3467
อลูมิเนียมบาง,อลูมิเนียมบาง,19/1/2569,27/06/2569,before product start date,0.4,21.6,A1048703,3468
อลูมิเนียมบาง,อลูมิเนียมบาง,20/1/2569,27/06/2569,before product start date,24.6,1402.2,A1048716,3469
อลูมิเนียมบาง,อลูมิเนียมบาง,21/1/2569,27/06/2569,before product start date,0.3,16.2,A1048737,3470
อลูมิเนียมบาง,อลูมิเนียมบาง,21/1/2569,27/06/2569,before product start date,10.5,672,A1048742,3471
อลูมิเนียมบาง,อลูมิเนียมบาง,23/1/2569,27/06/2569,before product start date,3.6,205.2,A1048771,3472
อลูมิเนียมบาง,อลูมิเนียมบาง,26/1/2569,27/06/2569,before product start date,0.6,34.2,A1048811,3473
อลูมิเนียมบาง,อลูมิเนียมบาง,26/1/2569,27/06/2569,before product start date,10.6,604.2,A1048804,3474
อลูมิเนียมบาง,อลูมิเนียมบาง,27/1/2569,27/06/2569,before product start date,5.6,319.2,A1048814,3475
อลูมิเนียมบาง,อลูมิเนียมบาง,27/1/2569,27/06/2569,before product start date,4.6,262.2,A1048815,3476
อลูมิเนียมบาง,อลูมิเนียมบาง,28/1/2569,27/06/2569,before product start date,17,969,A1048842,3477
อลูมิเนียมบาง,อลูมิเนียมบาง,29/1/2569,27/06/2569,before product start date,12.2,658.8,A1048849,3478
อลูมิเนียมบาง,อลูมิเนียมบาง,30/1/2569,27/06/2569,before product start date,49,2646,A1048858,3479
อลูมิเนียมบาง,อลูมิเนียมบาง,30/1/2569,27/06/2569,before product start date,6.7,361.8,A1048881,3480
อลูมิเนียมบาง,อลูมิเนียมบาง,31/1/2569,27/06/2569,before product start date,1.6,91.2,A1048894,3481
อลูมิเนียมบาง,อลูมิเนียมบาง,2/2/2569,27/06/2569,before product start date,1.1,59.4,A1048904,3482
อลูมิเนียมบาง,อลูมิเนียมบาง,3/2/2569,27/06/2569,before product start date,2.2,118.8,A1048938,3483
อลูมิเนียมบาง,อลูมิเนียมบาง,6/2/2569,27/06/2569,before product start date,6.9,372.6,A1048984,3484
อลูมิเนียมบาง,อลูมิเนียมบาง,6/2/2569,27/06/2569,before product start date,0.5,28.5,A1048994,3485
อลูมิเนียมบาง,อลูมิเนียมบาง,7/2/2569,27/06/2569,before product start date,0.2,10.8,A1049008,3486
อลูมิเนียมบาง,อลูมิเนียมบาง,9/2/2569,27/06/2569,before product start date,0.3,17.1,A1049024,3487
อลูมิเนียมบาง,อลูมิเนียมบาง,9/2/2569,27/06/2569,before product start date,7.6,319.2,A1049039,3488
อลูมิเนียมบาง,อลูมิเนียมบาง,9/2/2569,27/06/2569,before product start date,4.2,239.4,A1049039,3489
อลูมิเนียมบาง,อลูมิเนียมบาง,11/2/2569,27/06/2569,before product start date,21.4,1219.8,A1049067,3490
อลูมิเนียมบาง,อลูมิเนียมบาง,11/2/2569,27/06/2569,before product start date,1,64,A1049080,3491
อลูมิเนียมบาง,อลูมิเนียมบาง,12/2/2569,27/06/2569,before product start date,1,54,A1049101,3492
อลูมิเนียมบาง,อลูมิเนียมบาง,13/2/2569,27/06/2569,before product start date,0.6,32.4,A1049119,3493
อลูมิเนียมบาง,อลูมิเนียมบาง,13/2/2569,27/06/2569,before product start date,12.4,706.8,A1049117,3494
อลูมิเนียมบาง,อลูมิเนียมบาง,13/2/2569,27/06/2569,before product start date,13.6,870.4,A1049123,3495
อลูมิเนียมบาง,อลูมิเนียมบาง,14/2/2569,27/06/2569,before product start date,0.4,21.6,A1049138,3496
อลูมิเนียมบาง,อลูมิเนียมบาง,14/2/2569,27/06/2569,before product start date,10.6,678.4,A1049154,3497
อลูมิเนียมบาง,อลูมิเนียมบาง,14/2/2569,27/06/2569,before product start date,0.6,34.2,A1049151,3498
อลูมิเนียมบาง,อลูมิเนียมบาง,14/2/2569,27/06/2569,before product start date,4.6,262.2,A1049137,3499
อลูมิเนียมบาง,อลูมิเนียมบาง,16/2/2569,27/06/2569,before product start date,1.7,91.8,A1049161,3500
อลูมิเนียมบาง,อลูมิเนียมบาง,16/2/2569,27/06/2569,before product start date,14.2,908.8,A1049165,3501
อลูมิเนียมบาง,อลูมิเนียมบาง,16/2/2569,27/06/2569,before product start date,3.8,216.6,A1049162,3502
อลูมิเนียมบาง,อลูมิเนียมบาง,18/2/2569,27/06/2569,before product start date,20.4,591.6,A1049182,3503
อลูมิเนียมบาง,อลูมิเนียมบาง,18/2/2569,27/06/2569,before product start date,7,448,A1049185,3504
อลูมิเนียมบาง,อลูมิเนียมบาง,20/2/2569,27/06/2569,before product start date,2.7,148.5,A1049212,3505
อลูมิเนียมบาง,อลูมิเนียมบาง,20/2/2569,27/06/2569,before product start date,64.2,3659.4,A1049209,3506
อลูมิเนียมบาง,อลูมิเนียมบาง,21/2/2569,27/06/2569,before product start date,0.3,16.2,A1049230,3507
อลูมิเนียมบาง,อลูมิเนียมบาง,21/2/2569,27/06/2569,before product start date,0.2,10.8,A1049236,3508
อลูมิเนียมบาง,อลูมิเนียมบาง,21/2/2569,27/06/2569,before product start date,10.4,592.8,A1049229,3509
อลูมิเนียมบาง,อลูมิเนียมบาง,21/2/2569,27/06/2569,before product start date,1.2,68.4,A1049228,3510
อลูมิเนียมบาง,อลูมิเนียมบาง,21/2/2569,27/06/2569,before product start date,8.6,490.2,A1049218,3511
อลูมิเนียมบาง,อลูมิเนียมบาง,23/2/2569,27/06/2569,before product start date,2.5,142.5,A1049247,3512
อลูมิเนียมบาง,อลูมิเนียมบาง,24/2/2569,27/06/2569,before product start date,45.4,2633.2,A1049252,3513
อลูมิเนียมบาง,อลูมิเนียมบาง,24/2/2569,27/06/2569,before product start date,20.4,1183.2,A1049258,3514
อลูมิเนียมบาง,อลูมิเนียมบาง,26/2/2569,27/06/2569,before product start date,7.9,434.5,A1049292,3515
อลูมิเนียมบาง,อลูมิเนียมบาง,27/2/2569,27/06/2569,before product start date,4.1,225.5,A1049310,3516
อลูมิเนียมบาง,อลูมิเนียมบาง,27/2/2569,27/06/2569,before product start date,0.4,22,A1049316,3517
อลูมิเนียมบาง,อลูมิเนียมบาง,27/2/2569,27/06/2569,before product start date,0.2,11.6,A1049314,3518
อลูมิเนียมบาง,อลูมิเนียมบาง,27/2/2569,27/06/2569,before product start date,0.4,23.2,A1049312,3519
อลูมิเนียมบาง,อลูมิเนียมบาง,27/2/2569,27/06/2569,before product start date,0.4,23.2,A1049321,3520
อลูมิเนียมบาง,อลูมิเนียมบาง,28/2/2569,27/06/2569,before product start date,0.3,17.4,A1049331,3521
อลูมิเนียมบาง,อลูมิเนียมบาง,28/2/2569,27/06/2569,before product start date,4,232,A1049326,3522
อลูมิเนียมบาง,อลูมิเนียมบาง,2/3/2569,27/06/2569,before product start date,13.6,884,A1049337,3523
อลูมิเนียมบาง,อลูมิเนียมบาง,3/3/2569,27/06/2569,before product start date,0.4,22,A1049354,3524
อลูมิเนียมบาง,อลูมิเนียมบาง,4/3/2569,27/06/2569,before product start date,0.2,11,A1049368,3525
อลูมิเนียมบาง,อลูมิเนียมบาง,4/3/2569,27/06/2569,before product start date,2.7,156.6,A1049373,3526
อลูมิเนียมบาง,อลูมิเนียมบาง,4/3/2569,27/06/2569,before product start date,12.6,819,A1049365,3527
อลูมิเนียมบาง,อลูมิเนียมบาง,7/3/2569,27/06/2569,before product start date,1,57,A1049418,3528
